SessionID,WindowNumber,Press_count,Deltas_0_mean,Deltas_0_median,Deltas_0_std,Deltas_1_mean,Deltas_1_median,Deltas_1_std,Contact_size_mean,Contact_size_std,Pressure_mean,Pressure_std,Acc_X_mean,Acc_X_std,Acc_Y_mean,Acc_Y_std,Acc_Z_mean,Acc_Z_std,Gyr_X_mean,Gyr_X_std,Gyr_Y_mean,Gyr_Y_std,Gyr_Z_mean,Gyr_Z_std,Mag_X_mean,Mag_X_std,Mag_Y_mean,Mag_Y_std,Mag_Z_mean,Mag_Z_std
Andres1,0.0,5,585.0,585.0,65.05382386916237,68.66666666666667,68.0,8.020806277010644,0.19294119399999998,0.004295864699671068,0.19294119399999998,0.004295864699671068,,,,,,,-0.0004900366879999995,0.058767249582474174,-0.013209682066,0.07821553314963849,0.0025567125679999995,0.03173199844325316,,,,,,
Andres1,1.0,16,2251.0,722.0,4283.07342920945,66.0,70.0,28.480569817734644,0.1882353075,0.007301569557700586,0.1882353075,0.007301569557700586,,,,,,,0.017449563786,0.11990942458625628,0.002897606958000004,0.16002512184621168,0.00681790082,0.04908724233821185,,,,,,
Andres1,2.0,26,639.0769230769231,539.0,439.60824634714277,122.15384615384615,87.0,191.81972706764992,0.19302833851851847,0.00786823713237875,0.19302833851851847,0.00786823713237875,,,,,,,0.025886715425999997,0.19144825897479045,0.015574639036000001,0.19839122728766045,0.003643315517999999,0.05262974818469463,,,,,,
Andres1,3.0,7,2486.0,465.5,4206.43261366842,59.0,82.0,43.34743360338648,0.19271710142857146,0.008296872719433567,0.19271710142857146,0.008296872719433567,,,,,,,0.007755361084,0.10730455157062976,0.015766394742000003,0.1312181342388565,0.004474247191999999,0.0403322564972189,,,,,,
Andres1,4.0,38,462.6315789473685,334.0,398.4726688698452,66.73684210526315,76.0,26.33932865351979,0.19494325815789465,0.006109917895119979,0.19494325815789465,0.006109917895119979,,,,,,,0.024246159506,0.19405139147312156,0.012250913866000001,0.2071675130811275,0.008479763805999999,0.05714428796105544,,,,,,
Andres1,5.0,37,478.77777777777777,396.0,256.6928939999418,68.89473684210526,82.0,33.12584545980526,0.1925808329729729,0.006254313334717214,0.1925808329729729,0.006254313334717214,,,,,,,0.011249535606000005,0.16355225923135244,0.009694202382,0.16820793582979127,0.012868786783999995,0.06790084713723328,,,,,,
Andres1,6.0,28,624.1428571428571,597.0,447.7085001414437,51.78571428571429,67.0,30.143703441064726,0.18810008413793103,0.0175529044049831,0.18810008413793103,0.0175529044049831,,,,,,,0.001001379732000002,0.15111046284034124,-0.014253672738000002,0.1185232945775358,0.010375992229999995,0.04089159755904852,,,,,,
Andres1,7.0,32,598.8125,426.0,345.48868167664574,64.875,69.0,36.87795185925234,0.19044119124999992,0.006450532894282283,0.19044119124999992,0.006450532894282283,,,,,,,-0.006455698634000005,0.1504251806081978,0.006306557363999999,0.1291517513926013,0.0026206305800000012,0.03902726648480269,,,,,,
Andres1,8.0,30,406.73333333333335,418.0,197.9489352140621,61.4,66.0,25.7620984061026,0.1942483813333334,0.007549148126489562,0.1942483813333334,0.007549148126489562,,,,,,,-0.011526512779999998,0.16233207524168813,-0.009182859262,0.15389474202768552,0.0018749231660000003,0.05066309780076609,,,,,,
Andres1,12.0,6,14257.666666666664,943.0,23502.121230504566,62.0,63.0,10.535653752852738,0.19346407,0.0020250900401315355,0.19346407,0.0020250900401315355,,,,,,,0.005177343126000004,0.16081958895881526,0.027463355688000003,0.14263622017491592,0.010056402762,0.06944357935513075,,,,,,
Andres1,13.0,22,821.2727272727273,467.0,709.9766321378601,60.45454545454545,64.0,32.3090192867677,0.19572194272727275,0.006728350049971689,0.19572194272727275,0.006728350049971689,,,,,,,-0.0064770049060000005,0.12651473096670074,-0.041141767878000016,0.14853156514886467,-0.00202406448,0.046562352640347214,,,,,,
Andres1,14.0,42,423.09523809523813,339.0,250.7638141283356,62.61904761904761,75.0,34.93776780287514,0.19757238142857145,0.0046604213517143596,0.19757238142857145,0.0046604213517143596,,,,,,,-0.004836446280000006,0.19454209835967906,0.010397299168000005,0.19899789294450385,-0.002151900940000005,0.08201430855430053,,,,,,
Andres1,15.0,28,652.2142857142858,457.5,543.5513108001188,53.0,72.0,37.84990600537053,0.19355743928571428,0.0059630706549704685,0.19355743928571428,0.0059630706549704685,,,,,,,0.010695581094,0.16296236162000294,0.003685927604000003,0.17092245603186776,0.0020027581039999995,0.05368480510886564,,,,,,
Andres1,16.0,18,549.6666666666666,203.0,602.9125143833057,19.33333333333333,6.0,27.58169682960061,0.18213508222222216,0.0043005429368224634,0.18213508222222216,0.0043005429368224634,,,,,,,-0.008735435273999998,0.0740377847007364,-0.016554714778,0.06646550025765564,0.00027697760399999973,0.03443076023401916,,,,,,
Andres1,19.0,12,5604.333333333332,507.5,12532.134768931697,59.16666666666666,61.5,27.859767886087397,0.195424855,0.005990297122689326,0.195424855,0.005990297122689326,,,,,,,0.0060082744679999965,0.10484466756166264,0.007520997247999995,0.12696091269131207,0.00847976382,0.03578261321107325,,,,,,
Andres1,20.0,32,634.625,474.5,444.38614964915365,35.625,28.5,32.109967299889924,0.18946079875,0.0072814402619677315,0.18946079875,0.0072814402619677315,,,,,,,-0.02786482591176469,0.13264780264000964,-0.012136030233333329,0.13797254248335838,-0.0015457249549019607,0.04305977810946332,,,,,,
